Name,Type,Regular price,Description,Categories,Images
شطيرة مسكلة سواريه,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
فطيرة بطاطا قشقوان,simple,11500,"Scraped from Omaya Class. Original Price: 11,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميلفية لحمة,simple,10500,"Scraped from Omaya Class. Original Price: 10,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميلفيه جبنة,simple,8500,"Scraped from Omaya Class. Original Price: 8,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بيتزا سواريه,simple,7000,"Scraped from Omaya Class. Original Price: 7,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة كيري,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة هوت دوغ,simple,7500,"Scraped from Omaya Class. Original Price: 7,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة مرتديلا وقشقوان,simple,10000,"Scraped from Omaya Class. Original Price: 10,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة سجق,simple,12000,"Scraped from Omaya Class. Original Price: 12,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة قشقوان,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
فطيرة بطاطا وقشقوان,simple,11500,"Scraped from Omaya Class. Original Price: 11,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميليفه لحمة,simple,10500,"Scraped from Omaya Class. Original Price: 10,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميليفه جبنة,simple,8500,"Scraped from Omaya Class. Original Price: 8,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بيتزا سواريه,simple,7000,"Scraped from Omaya Class. Original Price: 7,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة كيري,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة هوت دوغ,simple,7500,"Scraped from Omaya Class. Original Price: 7,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة مرتديلا وقشقوان,simple,10000,"Scraped from Omaya Class. Original Price: 10,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة سجق,simple,12000,"Scraped from Omaya Class. Original Price: 12,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بسبوسة قشقوان,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
حراء باصبعو,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
كبة لبنية (9قطع),simple,65000,"Scraped from Omaya Class. Original Price: 65,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
معكرونة باردة,simple,20000,"Scraped from Omaya Class. Original Price: 20,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بوريك جبنة,simple,11000,"Scraped from Omaya Class. Original Price: 11,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
علبة يالنجي,simple,24500,"Scraped from Omaya Class. Original Price: 24,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
جيب التاجر,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
تشكن بيكانتا,simple,14000,"Scraped from Omaya Class. Original Price: 14,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميني سابوي,simple,9000,"Scraped from Omaya Class. Original Price: 9,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
كبة مقلية,simple,10000,"Scraped from Omaya Class. Original Price: 10,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
برك دجاج,simple,7000,"Scraped from Omaya Class. Original Price: 7,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
برك لحمة,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
سجق,simple,18500,"Scraped from Omaya Class. Original Price: 18,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
توشكا,simple,23000,"Scraped from Omaya Class. Original Price: 23,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
قشقوان وفطر,simple,19000,"Scraped from Omaya Class. Original Price: 19,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
حبش (سلامي بالقشقوان),simple,21000,"Scraped from Omaya Class. Original Price: 21,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
مكسيكي مع قشقوان,simple,29000,"Scraped from Omaya Class. Original Price: 29,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
فطيرة مكسيكي,simple,25000,"Scraped from Omaya Class. Original Price: 25,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
سبانخ مع قشقوان,simple,15500,"Scraped from Omaya Class. Original Price: 15,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
جبنة خضار وفطر,simple,13500,"Scraped from Omaya Class. Original Price: 13,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
محمرة خضار وفطر,simple,12000,"Scraped from Omaya Class. Original Price: 12,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
فطيرة زعتر بيروتي,simple,10000,"Scraped from Omaya Class. Original Price: 10,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
فطيرة جبنة ميكس,simple,16000,"Scraped from Omaya Class. Original Price: 16,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
لحمة صفيحة,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميني همبرغر,simple,9000,"Scraped from Omaya Class. Original Price: 9,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
فطيرة مكسيكي,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
فطيرة شامية,simple,7000,"Scraped from Omaya Class. Original Price: 7,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
تشكن بيكانتا,simple,14000,"Scraped from Omaya Class. Original Price: 14,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميني شاورما,simple,9000,"Scraped from Omaya Class. Original Price: 9,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميني جاج (فهيتا),simple,9000,"Scraped from Omaya Class. Original Price: 9,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ميني جاج (باربكيو),simple,9000,"Scraped from Omaya Class. Original Price: 9,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20240327121407_92_525.jpg
ميني سوبريم,simple,9000,"Scraped from Omaya Class. Original Price: 9,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20240327121334_92_524.jpg
ميني كريسبي,simple,9000,"Scraped from Omaya Class. Original Price: 9,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ليزي حبش,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ليزي محمره بقشوان,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
ليزية بيتزا,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بيتزا حبش,simple,12000,"Scraped from Omaya Class. Original Price: 12,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بيتزا هوت دوغ,simple,12000,"Scraped from Omaya Class. Original Price: 12,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
بيتزا رول,simple,12000,"Scraped from Omaya Class. Original Price: 12,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
دونت محشي,simple,10000,"Scraped from Omaya Class. Original Price: 10,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20240309100540_75_377.png
باباروني,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
كروسان اوريو,simple,10000,"Scraped from Omaya Class. Original Price: 10,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20240308121640_75_373.jpg
كروسان لوتس,simple,10000,"Scraped from Omaya Class. Original Price: 10,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20240308120431_75_372.05
كروسان اكسترا شوكولا,simple,10000,"Scraped from Omaya Class. Original Price: 10,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20240308120338_75_371.05
كروسان زيتون,simple,7000,"Scraped from Omaya Class. Original Price: 7,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
كروسان زعتر,simple,7000,"Scraped from Omaya Class. Original Price: 7,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
كروسان شوكولا,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20240307115328_75_368.04
كروسان جبنة,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20240307115046_75_367.05
اوزي,simple,23000,"Scraped from Omaya Class. Original Price: 23,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200802111236_63_201.jpg
حراق باصبعه,simple,40000,"Scraped from Omaya Class. Original Price: 40,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200802105032_63_200.jpg
كبة لبنية,simple,22000,"Scraped from Omaya Class. Original Price: 22,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200802104755_63_199.jpg
شطيرة مكسيكي,simple,23000,Scraped from Omaya Class. Original Price: 23000,Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
شطيرة شيش بالقشقوان,simple,29000,"Scraped from Omaya Class. Original Price: 29,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200802091054__59.jpg
شطيرة شيش,simple,23000,"Scraped from Omaya Class. Original Price: 23,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20211204093754__58.jpg
شطيرة سجق,simple,23000,Scraped from Omaya Class. Original Price: 23000,Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
شطيرة قشقوان,simple,23000,Scraped from Omaya Class. Original Price: 23000,Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
شطيرة زعتر بالقشقوان,simple,15500,"Scraped from Omaya Class. Original Price: 15,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20211204093728__53.jpg
شطيرة توشكا,simple,23000,Scraped from Omaya Class. Original Price: 23000,Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/prod_deff.jpg
شطيرة محمرة بقشقوان,simple,15000,"Scraped from Omaya Class. Original Price: 15,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200730080328__50.jpg
شطيرة زعتر,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200730080511__49.jpg
شطيرة محمرة,simple,8000,"Scraped from Omaya Class. Original Price: 8,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200802091005__48.jpg
مسخن أردني,simple,5000,"Scraped from Omaya Class. Original Price: 5,000 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200802082943__47.jpg
شطيرة جبنة,simple,9500,"Scraped from Omaya Class. Original Price: 9,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200802085538__46.jpg
برك سبانخ,simple,4500,"Scraped from Omaya Class. Original Price: 4,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20211204093627__45.jpg
برك جبنة,simple,6500,"Scraped from Omaya Class. Original Price: 6,500 ل.س",Waffle & Crepe,https://omayaclass.com/img/uploads1/larg/product_20200730091941__44.jpg
